#{"t_start": 1718207680.0404563, "env_id": "CustomHopper-source-v0"}
r,l,t
1422.077223,405,597.68872
1678.115096,500,598.467891
1555.014892,500,599.292463
1607.412284,500,606.432371
1695.594523,500,607.155231
1294.972443,361,607.684985
1538.267885,430,608.37622
1738.697668,500,609.166723
1705.117288,500,615.058779
1217.58652,347,615.702694
1622.360994,464,616.366574
1679.215958,500,617.217224
1757.124675,500,623.790228
1321.198772,378,625.347252
1615.364545,466,626.095906
1305.701799,372,626.690359
1391.607569,418,627.454416
1669.808361,500,639.027569
1675.635781,500,640.745726
1749.144528,487,641.970232
1653.478243,500,642.991727
1747.433665,500,653.21045
995.309833,285,654.126579
1660.056056,500,655.769237
978.993827,273,657.087667
1009.937054,291,658.034943
1660.736048,500,658.972229
1659.025532,500,664.982095
1756.326837,500,665.705896
1687.537498,500,666.580339
1361.832082,382,667.153331
1383.942605,392,673.007542
1659.250468,500,673.696574
1602.950083,500,674.382375
1017.912,334,675.107786
1556.089107,431,675.727797
1599.673693,500,682.293928
1694.788591,500,683.062222
1654.341879,500,683.979296
1562.617505,500,684.636128
1690.153282,500,690.162505
1668.346264,500,690.78471
1613.937636,500,691.4226
1655.149353,500,692.056809
724.216715,241,692.358435
1184.634133,325,697.800162
1698.941452,500,698.465594
1180.056338,356,698.909488
1371.865472,376,699.371106
1516.834,427,699.93972
1704.764712,500,705.305714
1666.003468,500,705.981629
1663.731374,500,706.649422
1080.275223,303,707.021874
1363.294311,379,711.879616
1691.782367,500,712.489625
1683.535119,500,713.075525
1646.719664,500,713.709179
738.243265,245,714.004402
1646.664037,452,718.772042
1712.793816,475,719.405827
1694.613202,500,720.02632
1664.126543,500,720.63187
1684.033549,500,725.253146
1669.170636,500,725.901347
1666.797413,500,726.494702
1693.863134,500,727.406039
1724.146871,500,734.937584
1680.151101,500,736.108879
1502.865318,420,736.90628
1707.953681,500,737.827464
1441.354277,433,738.438887
1698.196499,500,745.827798
1698.982601,500,746.770175
1683.508464,500,747.590485
1719.381449,500,748.35935
1706.971045,500,756.135945
1690.324841,500,757.628557
1676.042709,500,758.331463
1681.702737,500,759.366304
1402.323076,393,766.151545
1702.714894,500,767.124232
1681.181274,500,767.881816
1658.85921,500,768.993125
1696.932169,500,777.739664
1694.447932,500,778.598078
1658.74967,500,779.297016
1698.440328,500,780.171969
1680.360448,500,786.467615
1164.184184,318,787.091513
1683.761199,500,787.926677
1693.52494,500,788.607382
1705.985097,500,789.219362
1708.066298,500,794.601864
1694.040293,500,795.47656
1697.827869,500,796.299097
1320.123641,364,796.877302
97.428542,52,796.97167
1700.68729,500,803.192646
1704.704216,500,803.808844
1157.809266,323,804.290648
1228.46738,336,804.770493
793.773743,250,805.383352
1224.084077,331,805.9278
1782.507837,486,810.991641
1245.717332,343,811.412116
1691.132059,500,812.014063
1683.310466,500,812.595291
445.986687,161,812.791968
1818.572838,500,817.786466
938.698876,259,818.137252
1550.670402,423,819.12725
1710.040588,500,819.837528
1714.531839,500,825.001395
1293.731171,349,825.59481
1008.619887,283,825.968853
1026.170276,291,826.337224
1701.806896,500,826.927258
1006.031461,286,827.276488
1487.708341,407,832.21251
1556.8831,421,832.749029
1018.173611,281,833.106432
1735.486876,500,833.728376
1594.545194,435,834.268423
1762.890604,500,839.160493
1041.068765,299,839.53457
1711.978251,500,840.145103
1690.270397,500,840.84253
1662.793257,450,841.411081
1716.199288,500,847.572211
1710.076888,500,848.324991
1746.979332,500,848.992802
1133.314733,310,849.371311
1721.05364,500,855.181566
1711.332636,500,855.883332
1674.390402,500,856.558126
1705.251028,500,857.187658
1686.380003,500,862.8938
1676.986098,500,863.529588
1703.857941,500,864.129908
1688.887211,500,864.80797
1705.001309,500,870.749284
1499.888325,412,871.356451
1164.500729,327,871.800131
1299.503361,355,872.223554
1078.580232,298,872.686651
1368.383864,379,873.166444
1668.118124,466,879.325221
1225.328218,333,879.797872
955.228487,262,880.215667
1444.086034,404,880.849306
1304.445687,366,881.41812
